VIT_01s0011g01180.t01	GO:0042276	GO:0009650	GO:0005634	GO:0003887	GO:0006281	GO:0010224	GO:0005515	GO:0035861	GO:0009314	GO:0003684	GO:0005657																																									
VIT_01s0011g01190.t01	GO:0005515	GO:0005634	GO:0003700	GO:0031540																																																
VIT_01s0011g01200.t01	GO:0005515	GO:0005634	GO:0003700	GO:0031540																																																
VIT_01s0011g01220.t01	GO:0005515	GO:0006511	GO:0006355	GO:0004842	GO:0031146	GO:0016567	GO:0000151	GO:0008134																																												
VIT_01s0011g01230.t01	GO:0043024	GO:0005739	GO:0019843	GO:0097177	GO:0000028																																															
VIT_01s0011g01240.t01	GO:0006355	GO:0000976	GO:0009910	GO:0003677	GO:0005634	GO:0005515	GO:0005737	GO:0046982	GO:0003700	GO:0042803																																										
VIT_01s0011g01260.t01	GO:0006506	GO:0000506	GO:0009860	GO:0017176	GO:0009846	GO:0016020																																														
VIT_01s0011g01270.t01	GO:0005789	GO:0003674	GO:0009507																																																	
VIT_01s0011g01280.t01	GO:0006829	GO:0071577	GO:0010043	GO:0005886	GO:0016020	GO:0005385																																														
VIT_01s0011g01290.t01	GO:0010136	GO:0006145	GO:0005783	GO:0047652	GO:0016813	GO:0009507																																														
VIT_01s0011g01300.t01	GO:0010584	GO:0004650	GO:0009556	GO:0005576																																																
VIT_01s0011g01310.t01	GO:0004650	GO:0005576	GO:1901135	GO:0044281																																																
VIT_01s0011g01320.t01	GO:0006656	GO:0004105	GO:0006657	GO:0005634	GO:0031210	GO:0005737																																														
VIT_01s0011g01330.t01	GO:0009507	GO:0000398	GO:0003723	GO:0005634	GO:0016607																																															
VIT_01s0011g01340.t01	GO:0009507	GO:0000398	GO:0003723	GO:0005634	GO:0016607																																															
VIT_01s0011g01360.t01	GO:0043682	GO:0009873	GO:0009723	GO:0005802	GO:0005507	GO:0016020	GO:0005794	GO:0005375	GO:0015662	GO:0016887	GO:0055070	GO:0005768	GO:0010119																																							
VIT_01s0011g01370.t01	GO:0080093	GO:0009507	GO:0005759	GO:0044281	GO:0005783	GO:0005739	GO:0005829	GO:0016671	GO:0005515																																											
VIT_01s0011g01380.t01	GO:0080093	GO:0009507	GO:0005759	GO:0044281	GO:0005783	GO:0005739	GO:0005829	GO:0016671	GO:0005515																																											
VIT_01s0011g01390.t01	GO:0005829	GO:0009507	GO:0006432	GO:0005739	GO:0009570	GO:0000049	GO:0005737	GO:0004826																																												
VIT_01s0011g01410.t01	GO:0048366	GO:0010150	GO:0009735	GO:0009733	GO:0005739	GO:0005634																																														
VIT_01s0011g01420.t01	GO:0019276	GO:0006011	GO:0006048	GO:0006047	GO:0009793	GO:0003977	GO:0052630	GO:0005737	GO:0003983	GO:0009553	GO:0009555																																									
VIT_01s0011g01440.t01	GO:0006807	GO:1905182	GO:0005737	GO:0016151																																																
VIT_01s0011g01450.t01	GO:0005739	GO:0048589	GO:0003735	GO:0006412																																																
